entity_id,destination,latitude,longitude,coordinate_source
7703323a22b3fa59159a42e12ebddbd618f0bfc386fb3e183e6b2fad135585a2,Mallorca,39.658539,3.027134,ciudad_centroid_local
77034e004d47fc277178d1b0d54dccb6bcb8deb6f34d39f4f20a8eb3e9cc8347,Girona,42.026239,3.007877,ciudad_centroid_local
77043db9ea4e42729dd89152bfd03f185ef12be6bc8e0416d1ad90d85e6b43f4,Euskadi,43.263878,-2.513548,ciudad_centroid_local
7704b3c2fb4a740753c10321c829fc883c7477648ccc09c3aafbef06599bda81,Mallorca,39.658539,3.027134,ciudad_centroid_local
77053fb2b207bdf877e1b92d6ce917d3e91a4b85a6591746dad8abf5831498e1,Barcelona,41.391195,2.164495,ciudad_centroid_local
77060fd6456fd6293c085ad85768f4c0fdf71cf9ed356f10a780e48d88db290e,Girona,42.026239,3.007877,ciudad_centroid_local
770694c3bb8b8e9f9290e8e83ceedd16f392ace43889fde59a4131102fe17c14,Girona,42.026239,3.007877,ciudad_centroid_local
770712611e2f1bab85acaba9464b8cfa5420faf7c1128caef7e679e07bd5188f,Madrid,40.423559,-3.694702,ciudad_centroid_local
77074113d3b40bf2351c3f4f7f9e5fbd038113c602cbceddcc8d9124353f02e2,Madrid,40.423559,-3.694702,ciudad_centroid_local
7707debd7c94cd4ff3b82c2927741381bed8f10c62fb19797f55ac69fa57107b,Cartagena,37.597863,-0.982426,ciudad_centroid_local
7709aa7f49704a023ab57ca8e760fc45a7ece78faf8b046c50b38f9ebf83738b,Nerja,36.753097,-3.868857,ciudad_centroid_local
7709aca576b64d610bbe8bb2b4ebd6ea10f91cbb62df56cf9641e96e8269cf4c,Sevilla,37.391738,-5.983083,ciudad_centroid_local
770d826bdd48a4bc465b6990a111d71bc107e4d5d4480ad72f54e7e543e3859e,Girona,42.026239,3.007877,ciudad_centroid_local
770d82c16bd496318c25fb4e60b98f51a5d502f5d5be12911471de6525a9f5be,Barcelona,41.391195,2.164495,ciudad_centroid_local
770e10a4e4045afc403a4690f5b09fcc488daa712c45c9ea4db18b2807d3a94e,Girona,42.026239,3.007877,ciudad_centroid_local
770e5226b339b5d0fc0a69f7bf7d86bf5c313b0d144f04ff188d13a816934447,Girona,42.026239,3.007877,ciudad_centroid_local
770ef9e56f4ea80cb0bf0d11e7dd0d84469b8e8ef8d9eab1c00f5fc452c8efb8,Euskadi,43.263878,-2.513548,ciudad_centroid_local
7710d2ce8e2949ad47ec56815143e2fd5f5d1ed93e67d08a7c9b91c9f091873c,Madrid,40.423559,-3.694702,ciudad_centroid_local
7711ead6fcd5a8615c99f70ec550df8efa938ce2a1d6c5c5a19667711f90ad34,Girona,42.026239,3.007877,ciudad_centroid_local
77138d4840c19a94e47f9c7054c98ceffc6b6033062fee3b2d307c3c966a1bee,Málaga,36.718799,-4.42424,ciudad_centroid_local
7713a272f0cffa93ead9a5b71deaf522d79a2729eceba22cd96f7c27366eaa90,Barcelona,41.391195,2.164495,ciudad_centroid_local
